numero_identificador,data_atualizacao,tipo,titulo,ano,pais,evento,cidade,periodico,editora,descricao,autores
8498361107378780,26122023,Trabalho em Evento,Fatores Determinantes da Inadimplência do Crédito Rural nas Áreas de Concentração de Fruteiras no Estado do Ceará,2006,Brasil,In: XLIV CONGRESSO BRASILEIRO DE ECONOMIA E SOCIOLOGIA RURAL,Fortaleza,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.), Patrícia Verônica Sales Lima (LIMA, P. V. S.), Saeed (KHAN, A. S.)"
8498361107378780,26122023,Trabalho em Evento,AVALIAÇÃO E CARACTERIZAÇÃO DE GENÓTIPOS DE MAMONA PARA BAIXAS ALTITUDES NO MARANHÃO,2009,Brasil,"6o Congresso Brasileiro de Plantas Oleaginosas, Óleos, Gorduras e Biodiesel",Montes Claros,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
8498361107378780,26122023,Trabalho em Evento,"Avaliação e Caracterização de Genótipos Superiores por Marcador Molecular, para obtenção de cultivar de Pinhão manso (Jatropha curcas, L.)",2009,Brasil,"6o Congresso Brasileiro de Plantas Oleaginosas, Óleos, Gorduras e Biodiesel",Montes Claros,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
8498361107378780,26122023,Trabalho em Evento,UNIDADE DE AVALIAÇÃO E CARACTERIZAÇÃO AGRONÔMICA DA MORINGA (Moringa oleifera Lam) PARA PRODUÇÃO DE BIODIESEL,2009,Brasil,"6o Congresso Brasileiro de Plantas Oleaginosas, Óleos, Gorduras e Biodiesel",Montes Claros,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
8498361107378780,26122023,Trabalho em Evento,"SISTEMAS AGROFLORESTAIS DE BIODIESEL COM CULTURAS ALIMENTARES, PARA AGRICULTURA FAMILIAR",2009,Brasil,"6o Congresso Brasileiro de Plantas Oleaginosas, Óleos, Gorduras e Biodiesel",Montes Claros,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
8498361107378780,26122023,Trabalho em Evento,Componentes de produção da mamona irrigada com esgoto tratado e poço freático aplicando zinco e boro em baixa altitude,2011,Brasil,XL Congredsso Brasileiro de Engenharia Agrícola,Cuiabá,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.), Francisco marcus lima bezerra (BEZERRA, F. M. L.), Francisco Suetônio Bastos Mota (MOTA, F. S. B.), Boanerges Freire de Aquino (AQUINO, B. F. de)"
8498361107378780,26122023,Trabalho em Evento,Gestão Tecnológica de um Projeto de Irrigação,2014,Brasil,Congresso Técnico Científico da Engenharia e da Agronomia-CONTECC 2014,Teresina-PI,,,,"José Luciano Sales (Sales, J. L.), Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
8498361107378780,26122023,Outro Tipo de Produção Técnica,,,,,,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
8498361107378780,26122023,Outro Tipo de Produção Técnica,,,,,,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
8498361107378780,26122023,Outro Tipo de Produção Técnica,,,,,,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
8498361107378780,26122023,Outro Tipo de Produção Técnica,,,,,,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
8498361107378780,26122023,Outro Tipo de Produção Técnica,,,,,,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
8498361107378780,26122023,Outro Tipo de Produção Técnica,,,,,,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
8498361107378780,26122023,Outro Tipo de Produção Técnica,,,,,,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
8498361107378780,26122023,Outro Tipo de Produção Técnica,,,,,,,,,"Felipe Muniz Gadelha Sales (SALES, F. M. G.)"
1030435053294003,13032024,Trabalho em Evento,O papel da ASSEMA no auxílio às comunidades de quebradeiras de coco babaçu na região do médio-mearim,2007,Brasil,III SEMANA DE GEOGRAFIA E II MOSTRA DE PRODUÇÃO CIENTÍFICA DA UEMA,São Luís,,,,"Yata Anderson Gonzaga Masullo (MASULLO, Y. A. G.), José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Ediana Gusmão Silva (SILVA, E. G.)"
1030435053294003,13032024,Trabalho em Evento,"Maranhão do Sul, um Estudo de Caso",2007,Brasil,VII Encontro Humanístico/ IV Jornada Maranhense de Sociologia/ I Colóquio de Consciência Negra,São Luís,,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Yata Anderson Gonzaga Masullo (MASULLO, Y. A. G.), Felipe Domingos Galvão Bergê Cutrim (CUTRIM, F. D. G. B.)"
1030435053294003,13032024,Trabalho em Evento,As ações da ASSEMA no combate ao &quot;Horizonte de Misérias&quot; enfrentado pelas quebradeiras de coco babaçu,2007,Brasil,VII Encontro Humanístico/ IV Jornada Maranhense de Sociologia/ I Colóquio de Consciência Negra,São Luís,,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Yata Anderson Gonzaga Masullo (MASULLO, Y. A. G.), Felipe Domingos Galvão Bergê Cutrim (CUTRIM, F. D. G. B.)"
1030435053294003,13032024,Trabalho em Evento,Maranhão do Sul: Análise Crítica da Proposta de Formação,2008,Brasil,XV Encontro Nacional de Geógrafos,São Paulo,,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.)"
1030435053294003,13032024,Trabalho em Evento,Perfil da Comunidade Escolar do CEM Profª Margarida Pires Leal,2008,Brasil,IV Semana de Geografia/III Mostra de Produção Científica/I Encontro de Professores de Geografia do Maranhão,São Luís,,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.)"
1030435053294003,13032024,Trabalho em Evento,Ocupação das Terras do Maranhão ao longo do Século XX e a injeção do grande capital internacional: &quot;modernização&quot; capitalista do campo e os conflitos agrários,2008,Brasil,VIII Encontro Humanístico,São Luís,,,,"Danniel Madson Vieira Oliveira (OLIVEIRA, D. M. V.), José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Tiago Silva Moreira (MOREIRA, T. S.)"
1030435053294003,13032024,Trabalho em Evento,ANÁLISE SÓCIO-ECONÔMICA DA ÁREA URBANIZADA DO RIO DAS BICAS NO PERÍMETRO DO BAIRRO DE FÁTIMA E PARQUE AMAZONAS,2008,Brasil,VIII Encontro Humanístico,São Luís,,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Danniel Madson Vieira Oliveira (OLIVEIRA, D. M. V.), Tiago Silva Moreira (MOREIRA, T. S.)"
1030435053294003,13032024,Trabalho em Evento,"CULTURA, METAMORFOSE, TERRITÓRIO E IDENTIDADE: UMA ANÁLISE DO BUMBA-MEU-BOI NO MARANHÃO",2009,Brasil,"I Simpósio Nacional de Geografia Política, Território e Poder",Curitiba,,,,"Danniel Madson Vieira Oliveira (OLIVEIRA, D. M. V.), José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.)"
1030435053294003,13032024,Trabalho em Evento,DESNATURALIZANDO: CONTRIBUIÇÃO AOS ESTUDOS SOBRE A INSTITUIÇÃO HISTÓRICO-SOCIAL E GEOGRÁFICA DA GLOBALIZAÇÃO,2009,Brasil,"I Simpósio Nacional de Geografia Política, Território e Poder",Curitiba,,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Danniel Madson Vieira Oliveira (OLIVEIRA, D. M. V.), Horácio Antunes de Sant'Ana Júnior (SANTANA JUNIOR, H. A.)"
1030435053294003,13032024,Trabalho em Evento,PROCESSO DE DEGRADAÇÃO AMBIENTAL EM BACIAS HIDROGRÁFICAS: ESTUDO DE CASO NA BACIA DO RIO ANIL ? SÃO LUÍS (MA),2009,Brasil,XIII Simpósio Brasileiro de Geografia Física Aplicada,Viçosa,,,,"Danniel Madson Vieira Oliveira (OLIVEIRA, D. M. V.), José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Tiago Silva Moreira (MOREIRA, T. S.), Hudalet da Conceição Oliveira (OLIVEIRA, H. C.), Márcia Fernanda Pereira Gonçalves (GONCALVES, M. F. P.)"
1030435053294003,13032024,Trabalho em Evento,Raízes da identidade da Geografia Marxista na obra Crítica da Filosofia do Direito de Hegel: aplicações na Epistemologia da Geografia,2009,Brasil,IX Encontro Humanístico,São Luís,,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Juscinaldo Góes Almeida (ALMEIDA, J. G.)"
1030435053294003,13032024,Trabalho em Evento,Análise da Política de Desenvolvimento Sustentável da Vale,2010,Brasil,Encontro Nacional de Geógrafos,Porto Alegre,,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Horácio Antunes de Sant'Ana Júnior (SANT'ANA JÚNIOR, H. A.)"
1030435053294003,13032024,Trabalho em Evento,(DES/RE)CONSTRUÇÃO DO TECIDO URBANO: PROCESSO DE MODERNIZÇÃO E IMPLOSÃO-EXPLOSÃO URBANA EM SÃO LUÍS - MA,2010,Brasil,Encontro Nacional de Geógrafos,Porto Alegre,,,,"Danniel Madson Vieira Oliveira (OLIVEIRA, D. M. V.), Tiago Silva Moreira (MOREIRA, T. S.), José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Hudalet da Conceição Oliveira (OLIVEIRA, H. C.), André Luís Soares Rodrigues (RODRIGUES, A. L. S.), Josoaldo Lima Rêgo (REGO, J. L.), Marcelino Silva Farias Filho (FARIAS FILHO, M. S.)"
1030435053294003,13032024,Trabalho em Evento,"EXISTE UM MARXISMO ECOLÓGICO? DISCURSO, NATUREZA E IDEOLOGIA DA NATUREZA NOS MANUSCRITOS ECONÔMICO-FILOSÓFICOS DE KARL MARX (1844)",2010,Brasil,X Encontro Humanístico,São Luís,,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Juscinaldo Góes Almeida (ALMEIDA, J. G.), Thiers Fabrício Santos Tiers (TIERS, T. F. S.)"
1030435053294003,13032024,Trabalho em Evento,O VERMELHO E O VERDE: Rastreando um marxismo ecológico n?A Ideologia,2010,Brasil,X Encontro Humanístico,São Luís,,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Juscinaldo Góes Almeida (ALMEIDA, J. G.), Thiers Fabrício Santos Tiers (TIERS, T. F. S.)"
1030435053294003,13032024,Trabalho em Evento,"A GEOGRAFIA POLÍTICA DOS CONFLITOS AMBIENTAIS NO MARANHÃO: TERRITÓRIO, DESENVOLVIMENTO E PODER NO RELATÓRIO DE SUSTENTABILIDADE DA VALE 2009",2011,Brasil,"II Simpósio Nacional de Geografia Política, Território e Poder/I Simpósio Internacional de Geografia Política e Territórios Transfronteiriços",Foz do Iguaçu,,,,"José Arnaldo dos Santos Ribeiro Junior (RIBEIRO JUNIOR, J. A. S.), Horácio Antunes de Sant'Ana Júnior (SANT'ANA JÚNIOR, H. A.)"
